field,parent_type,fortran_type,rank,declared_bounds,decl_file,decl_line,alloc_sites,category,notes
DXN,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (0:M%IBAR),mesh.f90,203,read.f90:1245[0:M%IBAR],grid_geometry,doc: \f$ (x_i+x_{i+1})/2 \f$
DYN,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (0:M%JBAR),mesh.f90,204,read.f90:1259[0:M%JBAR],grid_geometry,doc: \f$ (y_j+y_{j+1})/2 \f$
DZN,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (0:M%KBAR),mesh.f90,205,read.f90:1273[0:M%KBAR],grid_geometry,doc: \f$ (z_k+z_{k+1})/2 \f$
RDXN,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (0:M%IBAR),mesh.f90,206,read.f90:1247[0:M%IBAR],grid_geometry,doc: \f$ 2/(x_i+x_{i+1}) \f$
RDYN,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (0:M%JBAR),mesh.f90,207,read.f90:1261[0:M%JBAR],grid_geometry,doc: \f$ 2/(y_j+y_{j+1}) \f$
RDZN,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (0:M%KBAR),mesh.f90,208,read.f90:1275[0:M%KBAR],grid_geometry,doc: \f$ 2/(z_k+z_{k+1}) \f$
CELLSI,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (-NIPXS:NIPX+NIPXF),mesh.f90,209,read.f90:1421[-NIPXS:NIPX+NIPXF],grid_geometry,doc: Array used to locate the cell index of \f$ x \f$
CELLSJ,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (-NIPYS:NIPY+NIPYF),mesh.f90,210,read.f90:1423[-NIPYS:NIPY+NIPYF],grid_geometry,doc: Array used to locate the cell index of \f$ y \f$
CELLSK,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (-NIPZS:NIPZ+NIPZF),mesh.f90,211,read.f90:1425[-NIPZS:NIPZ+NIPZF],grid_geometry,doc: Array used to locate the cell index of \f$ z \f$
CELLSI_LO,MESH_TYPE,INTEGER,0,scalar,mesh.f90,212,,grid_geometry,doc: hold CELLSI array bounds
CELLSI_HI,MESH_TYPE,INTEGER,0,scalar,mesh.f90,212,,grid_geometry,doc: hold CELLSI array bounds
CELLSJ_LO,MESH_TYPE,INTEGER,0,scalar,mesh.f90,213,,grid_geometry,doc: hold CELLSJ array bounds
CELLSJ_HI,MESH_TYPE,INTEGER,0,scalar,mesh.f90,213,,grid_geometry,doc: hold CELLSJ array bounds
CELLSK_LO,MESH_TYPE,INTEGER,0,scalar,mesh.f90,214,,grid_geometry,doc: hold CELLSK array bounds
CELLSK_HI,MESH_TYPE,INTEGER,0,scalar,mesh.f90,214,,grid_geometry,doc: hold CELLSK array bounds
XPLT,MESH_TYPE,"REAL(FB), ALLOCATABLE",1,deferred(:); allocated as (0:IBAR),mesh.f90,215,dump.f90:1004[0:IBAR],grid_geometry,doc: 4 byte real array holding \f$ x \f$ mesh coordinates
YPLT,MESH_TYPE,"REAL(FB), ALLOCATABLE",1,deferred(:); allocated as (0:JBAR),mesh.f90,216,dump.f90:1006[0:JBAR],grid_geometry,doc: 4 byte real array holding \f$ y \f$ mesh coordinates
ZPLT,MESH_TYPE,"REAL(FB), ALLOCATABLE",1,deferred(:); allocated as (0:KBAR),mesh.f90,217,dump.f90:1008[0:KBAR],grid_geometry,doc: 4 byte real array holding \f$ z \f$ mesh coordinates
N_OBST,MESH_TYPE,INTEGER,0,scalar,mesh.f90,219,,wall_obst_cutcell,doc: Number of obstructions in the mesh
OBSTRUCTION,MESH_TYPE,"TYPE(OBSTRUCTION_TYPE), ALLOCATABLE",1,deferred(:); allocated as (0:N_OBST_DIM) | (0:N_OBST+NDO),mesh.f90,220,read.f90:10860[0:N_OBST_DIM]; read.f90:12100[0:N_OBST+NDO],wall_obst_cutcell,doc: Derived type variable holding obstruction information
N_VENT,MESH_TYPE,INTEGER,0,scalar,mesh.f90,222,,wall_obst_cutcell,doc: Number of vents in the mesh
VENTS,MESH_TYPE,"TYPE(VENTS_TYPE), ALLOCATABLE",1,deferred(:); allocated as (N_VENT),mesh.f90,223,read.f90:12154[N_VENT],wall_obst_cutcell,doc: Derived type variable holding vent information
CELL_INDEX,MESH_TYPE,"INTEGER, ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:M4%IBP1,0:M4%JBP1,0:M4%KBP1) | (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,225,"func.f90:5357[0:M4%IBP1,0:M4%JBP1,0:M4%KBP1]; read.f90:11622[0:IBP1,0:JBP1,0:KBP1]",wall_obst_cutcell,"IJK -> linear CELL index (0 = plain gas cell); also allocated for neighbour meshes func.f90:5357 | doc: Unique integer identifier for grid cell (I,J,K)"
CELL,MESH_TYPE,"TYPE(CELL_TYPE), ALLOCATABLE",1,deferred(:); allocated as (0:N1),mesh.f90,226,func.f90:3870[0:N1]; func.f90:3885[(from CELL_DUMMY)],wall_obst_cutcell,doc: Variables associated with nearby solids
CELL_ILW,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (1:N1,1:3) | (1:N2,1:3)",mesh.f90,227,"func.f90:3879[1:N1,1:3]; func.f90:3904[1:N2,1:3]",radiation,
CELL_INTEGERS,MESH_TYPE,"INTEGER, ALLOCATABLE",1,deferred(:); allocated as (1:IC),mesh.f90,228,func.f90:3875[1:IC]; func.f90:3895[(from INTEGER_DUMMY)],wall_obst_cutcell,doc: 1-D array to hold CELL variables
CELL_LOGICALS,MESH_TYPE,"LOGICAL, ALLOCATABLE",1,deferred(:); allocated as (1:LC),mesh.f90,229,func.f90:3876[1:LC]; func.f90:3900[(from LOGICAL_DUMMY)],wall_obst_cutcell,doc: 1-D array to hold CELL variables
CONNECTED_MESH,MESH_TYPE,"LOGICAL, ALLOCATABLE",1,deferred(:); allocated as (NMESHES),mesh.f90,231,main.f90:2079[NMESHES],mpi_exchange,doc: T or F if cell is within another mesh
NREGFACE_H,MESH_TYPE,INTEGER,1,(MAX_DIM),mesh.f90,233,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%NREGFACE_H or M%NREGFACE_H)
REGFACE_IAXIS_H,MESH_TYPE,"TYPE(CC_REGFACE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (IREG),mesh.f90,234,pres.f90:2073[IREG]; pres.f90:5625[IREG],wall_obst_cutcell,
REGFACE_JAXIS_H,MESH_TYPE,"TYPE(CC_REGFACE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (IREG),mesh.f90,235,pres.f90:2102[IREG]; pres.f90:5652[IREG],wall_obst_cutcell,
REGFACE_KAXIS_H,MESH_TYPE,"TYPE(CC_REGFACE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (IREG),mesh.f90,236,pres.f90:2132[IREG]; pres.f90:5679[IREG],wall_obst_cutcell,
N_EDGE_CROSS,MESH_TYPE,INTEGER,0,scalar,mesh.f90,240,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_EDGE_CROSS or M%N_EDGE_CROSS)
N_CUTEDGE_MESH,MESH_TYPE,INTEGER,0,scalar,mesh.f90,240,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_CUTEDGE_MESH or M%N_CUTEDGE_MESH)
N_CUTFACE_MESH,MESH_TYPE,INTEGER,0,scalar,mesh.f90,240,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_CUTFACE_MESH or M%N_CUTFACE_MESH)
N_CUTCELL_MESH,MESH_TYPE,INTEGER,0,scalar,mesh.f90,240,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_CUTCELL_MESH or M%N_CUTCELL_MESH)
N_BBCUTFACE_MESH,MESH_TYPE,INTEGER,0,scalar,mesh.f90,241,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_BBCUTFACE_MESH or M%N_BBCUTFACE_MESH)
N_GCCUTFACE_MESH,MESH_TYPE,INTEGER,0,scalar,mesh.f90,241,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_GCCUTFACE_MESH or M%N_GCCUTFACE_MESH)
N_GCCUTCELL_MESH,MESH_TYPE,INTEGER,0,scalar,mesh.f90,241,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_GCCUTCELL_MESH or M%N_GCCUTCELL_MESH)
FINEST_LINK_LEV,MESH_TYPE,INTEGER,0,scalar,mesh.f90,242,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%FINEST_LINK_LEV or M%FINEST_LINK_LEV)
NUNK_F,MESH_TYPE,INTEGER,0,scalar,mesh.f90,242,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%NUNK_F or M%NUNK_F)
VERTVAR,MESH_TYPE,"INTEGER, ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_NVVARS)",mesh.f90,243,"geom.f90:15799[ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_NVVARS]",wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%VERTVAR or M%VERTVAR)
CCVAR,MESH_TYPE,"INTEGER, ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_UNKZ:CC_UNKZ) | (ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_NCVARS) | (ISTR:IEND,JSTR:JEND,KSTR:KEND,NCVARS)",mesh.f90,243,"ccib.f90:20413[ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_UNKZ:CC_UNKZ]; geom.f90:15817[ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_NCVARS]; pres.f90:5852[ISTR:IEND,JSTR:JEND,KSTR:KEND,NCVARS]",wall_obst_cutcell,
ECVAR,MESH_TYPE,"INTEGER, ALLOCATABLE",5,"deferred(:,:,:,:,:); allocated as (ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_NEVARS,MAX_DIM)",mesh.f90,244,"geom.f90:15805[ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_NEVARS,MAX_DIM]",wall_obst_cutcell,
FCVAR,MESH_TYPE,"INTEGER, ALLOCATABLE",5,"deferred(:,:,:,:,:); allocated as (ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_NFVARS,MAX_DIM)",mesh.f90,244,"geom.f90:15811[ISTR:IEND,JSTR:JEND,KSTR:KEND,CC_NFVARS,MAX_DIM]",wall_obst_cutcell,
EDGE_CROSS,MESH_TYPE,"TYPE(CC_EDGECROSS_TYPE), ALLOCATABLE",1,deferred(:); allocated as (GLOBAL_DELTA_EDGE),mesh.f90,245,geom.f90:15840[GLOBAL_DELTA_EDGE]; geom.f90:18379[(from FROM=EDGE_CROSS_AUX)],wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%EDGE_CROSS or M%EDGE_CROSS)
CUT_EDGE,MESH_TYPE,"TYPE(CC_CUTEDGE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (GLOBAL_DELTA_EDGE),mesh.f90,246,geom.f90:15845[GLOBAL_DELTA_EDGE]; geom.f90:18414[(from FROM=CUT_EDGE_AUX)],wall_obst_cutcell,
CUT_FACE,MESH_TYPE,"TYPE(CC_CUTFACE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (GLOBAL_DELTA_FACE),mesh.f90,247,geom.f90:9563[(from FROM=CUT_FACE_AUX)]; geom.f90:10255[(from FROM=CUT_FACE_AUX)]; geom.f90:15852[GLOBAL_DELTA_FACE]; geom.f90:22270[(from FROM=CUT_FACE_AUX)],wall_obst_cutcell,
CUT_CELL,MESH_TYPE,"TYPE(CC_CUTCELL_TYPE), ALLOCATABLE",1,deferred(:); allocated as (GLOBAL_DELTA_CELL),mesh.f90,248,geom.f90:8379[(from FROM=CUT_CELL_AUX)]; geom.f90:9443[(from FROM=CUT_CELL_AUX)]; geom.f90:9967[(from FROM=CUT_CELL_AUX)]; geom.f90:15858[GLOBAL_DELTA_CELL],wall_obst_cutcell,
GCELL,MESH_TYPE,TYPE(CC_GCELL_TYPE),0,scalar,mesh.f90,250,,wall_obst_cutcell,
CC_NREGFACE_Z,MESH_TYPE,INTEGER,1,(MAX_DIM),mesh.f90,252,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%CC_NREGFACE_Z or M%CC_NREGFACE_Z)
CC_NBBREGFACE_Z,MESH_TYPE,INTEGER,1,(MAX_DIM),mesh.f90,252,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%CC_NBBREGFACE_Z or M%CC_NBBREGFACE_Z)
CC_REGFACE_IAXIS_Z,MESH_TYPE,"TYPE(CC_REGFACEZ_TYPE), ALLOCATABLE",1,deferred(:); allocated as (IREG),mesh.f90,253,ccib.f90:22086[IREG],wall_obst_cutcell,
CC_REGFACE_JAXIS_Z,MESH_TYPE,"TYPE(CC_REGFACEZ_TYPE), ALLOCATABLE",1,deferred(:); allocated as (IREG),mesh.f90,253,ccib.f90:22176[IREG],wall_obst_cutcell,
CC_REGFACE_KAXIS_Z,MESH_TYPE,"TYPE(CC_REGFACEZ_TYPE), ALLOCATABLE",1,deferred(:); allocated as (IREG),mesh.f90,253,ccib.f90:22266[IREG],wall_obst_cutcell,
CC_NRCFACE_Z,MESH_TYPE,INTEGER,0,scalar,mesh.f90,254,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%CC_NRCFACE_Z or M%CC_NRCFACE_Z)
CC_NBBRCFACE_Z,MESH_TYPE,INTEGER,0,scalar,mesh.f90,254,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%CC_NBBRCFACE_Z or M%CC_NBBRCFACE_Z)
CC_NRCFACE_H,MESH_TYPE,INTEGER,0,scalar,mesh.f90,254,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%CC_NRCFACE_H or M%CC_NRCFACE_H)
RCF_H,MESH_TYPE,"INTEGER, ALLOCATABLE",1,deferred(:); allocated as (IRC),mesh.f90,255,ccib.f90:21721[IRC],wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%RCF_H or M%RCF_H)
RC_FACE,MESH_TYPE,"TYPE(CC_RCFACE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (IRC),mesh.f90,256,ccib.f90:22404[IRC],wall_obst_cutcell,
RHO_ZZN,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_TOTAL_SCALARS)",mesh.f90,257,"ccib.f90:11786[0:IBP1,0:JBP1,0:KBP1,N_TOTAL_SCALARS]",wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%RHO_ZZN or M%RHO_ZZN)
CFACE,MESH_TYPE,"TYPE(CFACE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (0:MESHES(NOM)%N_CFACE_CELLS_DIM) | (N_CFACE_CELLS_DIM) | (0:M%N_CFACE_CELLS_DIM+N_NEW_STORAGE_SLOTS) | (0:MESHES(NM)%N_CFACE_CELLS_DIM),mesh.f90,260,ccib.f90:283[0:MESHES(NOM)%N_CFACE_CELLS_DIM]; dump.f90:4223[N_CFACE_CELLS_DIM]; func.f90:4080[0:M%N_CFACE_CELLS_DIM+N_NEW_STORAGE_SLOTS]; geom.f90:12147[0:MESHES(NM)%N_CFACE_CELLS_DIM],wall_obst_cutcell,
CC_NRCEDGE,MESH_TYPE,INTEGER,0,scalar,mesh.f90,263,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%CC_NRCEDGE or M%CC_NRCEDGE)
CC_NIBEDGE,MESH_TYPE,INTEGER,0,scalar,mesh.f90,263,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%CC_NIBEDGE or M%CC_NIBEDGE)
CC_RCEDGE,MESH_TYPE,"TYPE(CC_EDGE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (1:CC_ECOUNT_RC),mesh.f90,264,geom.f90:7173[1:CC_ECOUNT_RC],wall_obst_cutcell,
CC_IBEDGE,MESH_TYPE,"TYPE(CC_EDGE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (1:CC_ECOUNT),mesh.f90,264,geom.f90:7853[1:CC_ECOUNT],wall_obst_cutcell,
GEOM_ZMAX,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (0:IBAR,0:JBAR)",mesh.f90,267,"geom.f90:15906[0:IBAR,0:JBAR]",wall_obst_cutcell,
N_SPCELL,MESH_TYPE,INTEGER,0,scalar,mesh.f90,270,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_SPCELL or M%N_SPCELL)
N_SPCELL_CF,MESH_TYPE,INTEGER,0,scalar,mesh.f90,270,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_SPCELL_CF or M%N_SPCELL_CF)
SPCELL_LIST,MESH_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (IAXIS:KAXIS,DELTA_CELL) | (IAXIS:KAXIS,NSPCELL_LIST+DELTA_CELL)",mesh.f90,271,"geom.f90:23120[IAXIS:KAXIS,DELTA_CELL]; geom.f90:23840[IAXIS:KAXIS,NSPCELL_LIST+DELTA_CELL]; geom.f90:24313[IAXIS:KAXIS,NSPCELL_LIST+DELTA_CELL]; geom.f90:25553[IAXIS:KAXIS,NSPCELL_LIST+DELTA_CELL]",wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%SPCELL_LIST or M%SPCELL_LIST)
N_SPCELLS_TO_BLOCK,MESH_TYPE,INTEGER,0,scalar,mesh.f90,272,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_SPCELLS_TO_BLOCK or M%N_SPCELLS_TO_BLOCK)
SPCELLS_TO_BLOCK,MESH_TYPE,"INTEGER, ALLOCATABLE",1,deferred(:); no ALLOCATE found,mesh.f90,273,geom.f90:15889[(from FROM=SPCELLS_TO_BLOCK_TMP)]; geom.f90:15891[(from FROM=SPCELLS_TO_BLOCK)],wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%SPCELLS_TO_BLOCK or M%SPCELLS_TO_BLOCK)
EWC_UN_LNK,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (0:M%N_EXTERNAL_WALL_CELLS),mesh.f90,276,ccib.f90:23338[0:M%N_EXTERNAL_WALL_CELLS],wall_obst_cutcell,
UN_LNK,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (0:M%NUNK_F),mesh.f90,276,ccib.f90:23339[0:M%NUNK_F],wall_obst_cutcell,
UN_ULNK,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (COUNT),mesh.f90,276,ccib.f90:23395[COUNT],wall_obst_cutcell,
INBCF_AREA,MESH_TYPE,"TYPE(CC_INBCF_AREA_TYPE), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:MESHES(NM)%IBP1,0:MESHES(NM)%JBP1,0:MESHES(NM)%KBP1)",mesh.f90,279,"geom.f90:14333[0:MESHES(NM)%IBP1,0:MESHES(NM)%JBP1,0:MESHES(NM)%KBP1]",wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%INBCF_AREA or M%INBCF_AREA)
N_CC_BLOCKED,MESH_TYPE,INTEGER,0,scalar,mesh.f90,282,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_CC_BLOCKED or M%N_CC_BLOCKED)
N_CC_ELIMINATED,MESH_TYPE,INTEGER,0,scalar,mesh.f90,283,,wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%N_CC_ELIMINATED or M%N_CC_ELIMINATED)
JBT_CC_BLOCKED,MESH_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (4,NPACK) | (4,MESHES(NM)%N_CC_BLOCKED)",mesh.f90,284,"geom.f90:5598[4,NPACK]; geom.f90:5654[4,NPACK]; geom.f90:5717[4,MESHES(NM)%N_CC_BLOCKED]",wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%JBT_CC_BLOCKED or M%JBT_CC_BLOCKED)
XYZ_CC_BLOCKED,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (3,NPACK) | (3,MESHES(NM)%N_CC_BLOCKED)",mesh.f90,285,"geom.f90:5597[3,NPACK]; geom.f90:5653[3,NPACK]; geom.f90:5716[3,MESHES(NM)%N_CC_BLOCKED]",wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%XYZ_CC_BLOCKED or M%XYZ_CC_BLOCKED)
JBT_CC_ELIMINATED,MESH_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (4,NCAP)",mesh.f90,286,"geom.f90:5792[4,NCAP]; geom.f90:5801[(from FROM=JBT_TMP)]",wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%JBT_CC_ELIMINATED or M%JBT_CC_ELIMINATED)
XYZ_CC_ELIMINATED,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (3,NCAP)",mesh.f90,287,"geom.f90:5792[3,NCAP]; geom.f90:5800[(from FROM=XYZ_TMP)]",wall_obst_cutcell,no MESH_POINTERS alias (access only via MESHES(NM)%XYZ_CC_ELIMINATED or M%XYZ_CC_ELIMINATED)
N_WALL_CELLS,MESH_TYPE,INTEGER,0,scalar,mesh.f90,291,,wall_obst_cutcell,
N_WALL_CELLS_DIM,MESH_TYPE,INTEGER,0,scalar,mesh.f90,291,,wall_obst_cutcell,
N_INTERNAL_WALL_CELLS,MESH_TYPE,INTEGER,0,scalar,mesh.f90,291,,wall_obst_cutcell,
N_EXTERNAL_WALL_CELLS,MESH_TYPE,INTEGER,0,scalar,mesh.f90,291,,ghost_boundary,
N_THIN_WALL_CELLS,MESH_TYPE,INTEGER,0,scalar,mesh.f90,292,,wall_obst_cutcell,
N_THIN_WALL_CELLS_DIM,MESH_TYPE,INTEGER,0,scalar,mesh.f90,292,,wall_obst_cutcell,
HT_3D_SWEEP_DIRECTION,MESH_TYPE,INTEGER,0,scalar,mesh.f90,293,,wall_obst_cutcell,
N_EXTERNAL_CFACE_CELLS,MESH_TYPE,INTEGER,0,scalar,mesh.f90,294,,wall_obst_cutcell,
N_INTWALL_CFACE_CELLS,MESH_TYPE,INTEGER,0,scalar,mesh.f90,294,,wall_obst_cutcell,
INTERNAL_CFACE_CELLS_LB,MESH_TYPE,INTEGER,0,scalar,mesh.f90,294,,wall_obst_cutcell,
N_INTERNAL_CFACE_CELLS,MESH_TYPE,INTEGER,0,scalar,mesh.f90,295,,wall_obst_cutcell,
N_CFACE_CELLS_DIM,MESH_TYPE,INTEGER,0,scalar,mesh.f90,295,,wall_obst_cutcell,
BC_CLOCK,MESH_TYPE,REAL(EB),0,scalar,mesh.f90,296,,wall_obst_cutcell,
UVW_SAVE,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (M%N_EXTERNAL_WALL_CELLS),mesh.f90,297,init.f90:972[M%N_EXTERNAL_WALL_CELLS],ghost_boundary,
U_GHOST,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (M%N_EXTERNAL_WALL_CELLS),mesh.f90,297,init.f90:974[M%N_EXTERNAL_WALL_CELLS],ghost_boundary,
V_GHOST,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (M%N_EXTERNAL_WALL_CELLS),mesh.f90,297,init.f90:975[M%N_EXTERNAL_WALL_CELLS],ghost_boundary,
W_GHOST,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (M%N_EXTERNAL_WALL_CELLS),mesh.f90,297,init.f90:976[M%N_EXTERNAL_WALL_CELLS],ghost_boundary,
WALL,MESH_TYPE,"TYPE(WALL_TYPE), ALLOCATABLE",1,deferred(:); allocated as (0:N_WALL_CELLS_DIM) | (0:M%N_WALL_CELLS_DIM+N_NEW_STORAGE_SLOTS) | (0:M%N_WALL_CELLS_DIM) | (0:MESHES(NOM)%N_WALL_CELLS_DIM),mesh.f90,298,dump.f90:4199[0:N_WALL_CELLS_DIM]; func.f90:4011[0:M%N_WALL_CELLS_DIM+N_NEW_STORAGE_SLOTS]; init.f90:48[0:M%N_WALL_CELLS_DIM]; main.f90:2497[0:MESHES(NOM)%N_WALL_CELLS_DIM],wall_obst_cutcell,"WALL(0:N_WALL_CELLS_DIM); external (mesh-boundary) wall cells come first (1:N_EXTERNAL_WALL_CELLS, see main.f90:2104-2108); also allocated for off-process neighbour meshes main.f90:2497"
THIN_WALL,MESH_TYPE,"TYPE(THIN_WALL_TYPE), ALLOCATABLE",1,deferred(:); allocated as (1:N_THIN_WALL_CELLS_DIM) | (1:M%N_THIN_WALL_CELLS_DIM+N_NEW_STORAGE_SLOTS) | (0:M%N_THIN_WALL_CELLS_DIM) | (0:MESHES(NOM)%N_THIN_WALL_CELLS_DIM),mesh.f90,299,dump.f90:4211[1:N_THIN_WALL_CELLS_DIM]; func.f90:4050[1:M%N_THIN_WALL_CELLS_DIM+N_NEW_STORAGE_SLOTS]; init.f90:49[0:M%N_THIN_WALL_CELLS_DIM]; main.f90:2528[0:MESHES(NOM)%N_THIN_WALL_CELLS_DIM],wall_obst_cutcell,
EXTERNAL_WALL,MESH_TYPE,"TYPE(EXTERNAL_WALL_TYPE), ALLOCATABLE",1,deferred(:); allocated as (M%N_EXTERNAL_WALL_CELLS),mesh.f90,300,init.f90:38[M%N_EXTERNAL_WALL_CELLS],ghost_boundary,per external wall cell: neighbour mesh NOM + index range IIO/JJO/KKO_MIN:MAX of abutting cells in NOM (type.f90:462-482); basis of the non-matching-resolution interpolation
OMESH,MESH_TYPE,"TYPE(OMESH_TYPE), ALLOCATABLE",1,deferred(:); allocated as (NMESHES),mesh.f90,301,main.f90:2077[NMESHES],mpi_exchange,one OMESH_TYPE per mesh in the whole run (1:NMESHES) main.f90:2077 even though only neighbours are populated
LAGRANGIAN_PARTICLE,MESH_TYPE,"TYPE(LAGRANGIAN_PARTICLE_TYPE), ALLOCATABLE",1,deferred(:); allocated as (NLPDIM) | (M%NLPDIM+N_NEW_STORAGE_SLOTS) | (M%NLPDIM),mesh.f90,302,dump.f90:4237[NLPDIM]; func.f90:3981[M%NLPDIM+N_NEW_STORAGE_SLOTS]; init.f90:930[M%NLPDIM],particle,
BOUNDARY_ONE_D,MESH_TYPE,"TYPE(BOUNDARY_ONE_D_TYPE), ALLOCATABLE",1,deferred(:); allocated as (N_BOUNDARY_ONE_D_DIM),mesh.f90,303,dump.f90:4193[N_BOUNDARY_ONE_D_DIM]; func.f90:4153[(from OD_DUMMY)],wall_obst_cutcell,
BOUNDARY_THR_D,MESH_TYPE,"TYPE(BOUNDARY_THR_D_TYPE), ALLOCATABLE",1,deferred(:); no ALLOCATE found,mesh.f90,304,func.f90:4206[(from TD_DUMMY)],wall_obst_cutcell,
