routine,file,codes,stage,start_line,end_line,process_scope,condition,mesh_fields,omesh_fields,buffers,mpi_calls,purpose,purpose_src
MESH_EXCHANGE,main.f90,7,start_wait,3642,3645,n_mpi>1,N_MPI_PROCESSES>1 .AND. CODE==7 .AND. N_REQ2>0,,,REQ2,MPI_STARTALL TIMEOUT,number of particle orphans,main.f90:3512; main.f90:3644
MESH_EXCHANGE,main.f90,"3,6",start_wait,3647,3654,n_mpi>1,N_MPI_PROCESSES>1 .AND. (CODE==3.OR.CODE==6) .AND. N_REQ3>0,,,REQ3,MPI_STARTALL TIMEOUT,"end of PREDICTOR: HS, US, VS, WS (pressure/velocity); end of CORRECTOR: H, U, V, W; plus back-wall (WALL/THIN_WALL) data",main.f90:3421; main.f90:3650; main.f90:3421; main.f90:3458; main.f90:3652; main.f90:3668
MESH_EXCHANGE,main.f90,5,start_wait,3656,3659,n_mpi>1,N_MPI_PROCESSES>1 .AND. CODE==5 .AND. N_REQ7>0,,,REQ7,MPI_STARTALL TIMEOUT,inside pressure iteration: FVX/FVY/FVZ and H (PREDICTOR) / HS (CORRECTOR),main.f90:3350; main.f90:3658
MESH_EXCHANGE,main.f90,20,start_wait,3661,3664,n_mpi>1,N_MPI_PROCESSES>1 .AND. CODE==20 .AND. N_REQ4>0,,,REQ4,MPI_STARTALL TIMEOUT,particle drag FVX_D/FVY_D/FVZ_D at interpolated boundaries,main.f90:3397; main.f90:3663
MESH_EXCHANGE,main.f90,6,start_wait,3666,3669,n_mpi>1,N_MPI_PROCESSES>1 .AND. CODE==6 .AND. N_REQ6>0,,,REQ6,MPI_STARTALL TIMEOUT,"end of CORRECTOR: H, U, V, W; plus back-wall (WALL/THIN_WALL) data",main.f90:3421; main.f90:3458; main.f90:3652; main.f90:3668
MESH_EXCHANGE,main.f90,2,start_wait,3671,3674,n_mpi>1,N_MPI_PROCESSES>1 .AND. CODE==2 .AND. N_REQ5>0,,,REQ5,MPI_STARTALL TIMEOUT,radiation intensities IL at interpolated boundaries,main.f90:3484; main.f90:3673
MESH_EXCHANGE,main.f90,14,start_wait,3676,3679,n_mpi>1,N_MPI_PROCESSES>1 .AND. CODE==14 .AND. N_REQ14>0,,,REQ14,MPI_STARTALL TIMEOUT,level-set boundary values,main.f90:3545; main.f90:3678
MESH_EXCHANGE,main.f90,15,start_wait,3681,3684,n_mpi>1,N_MPI_PROCESSES>1 .AND. CODE==15 .AND. N_REQ15>0,,,REQ15,MPI_STARTALL TIMEOUT,mass loss of OBSTs that only border the current mesh,main.f90:3585; main.f90:3683
MESH_EXCHANGE,main.f90,"1,4",unpack,3704,3736,mpi_only,(CODE==1.OR.CODE==4) .AND. M2%NIC_R>0 .AND. RNODE/=SNODE,OMESH:rw,D:pw DS:pw IIO_R:r IOR_R:r JJO_R:r KKO_R:r KRES:w MU:w NIC_R:r Q:w REAL_RECV_PKG1:r RHO:pw RHOS:pw ZZ:pw ZZS:pw,REAL_RECV_PKG1,,"PREDICTOR: RHOS, ZZS, DS (+MU, KRES, Q...) 2 cells deep at interpolated boundaries; CORRECTOR: RHO, ZZ, D (+MU, KRES, Q...)",main.f90:3299; main.f90:3636; main.f90:3299; main.f90:3638
MESH_EXCHANGE,main.f90,5,unpack,3740,3770,mpi_only,CODE==5 .AND. M2%NIC_R>0 .AND. RNODE/=SNODE,OMESH:rw,FVX:w FVY:w FVZ:w H:pw HS:pw IIO_R:r IOR_R:r JJO_R:r KKO_R:r NIC_R:r REAL_RECV_PKG7:r,REAL_RECV_PKG7,,inside pressure iteration: FVX/FVY/FVZ and H (PREDICTOR) / HS (CORRECTOR),main.f90:3350; main.f90:3658
MESH_EXCHANGE,main.f90,20,unpack,3774,3787,mpi_only,CODE==20 .AND. M2%NIC_R>0 .AND. RNODE/=SNODE,OMESH:rw,FVX_D:w FVY_D:w FVZ_D:w IIO_R:r IOR_R:r JJO_R:r KKO_R:r NIC_R:r REAL_RECV_PKG4:r,REAL_RECV_PKG4,,particle drag FVX_D/FVY_D/FVZ_D at interpolated boundaries,main.f90:3397; main.f90:3663
MESH_EXCHANGE,main.f90,"3,6",unpack,3791,3811,mpi_only,(CODE==3.OR.CODE==6) .AND. M2%NIC_R>0 .AND. RNODE/=SNODE,OMESH:r,H:pw HS:pw I_MAX_R:r I_MIN_R:r J_MAX_R:r J_MIN_R:r K_MAX_R:r K_MIN_R:r NIC_R:r REAL_RECV_PKG3:r U:pw US:pw V:pw VS:pw W:pw WS:pw,REAL_RECV_PKG3,,"end of PREDICTOR: HS, US, VS, WS (pressure/velocity); end of CORRECTOR: H, U, V, W; plus back-wall (WALL/THIN_WALL) data",main.f90:3421; main.f90:3650; main.f90:3421; main.f90:3458; main.f90:3652; main.f90:3668
MESH_EXCHANGE,main.f90,2,unpack,3815,3834,mpi_only,CODE==2 .AND. M2%NIC_R>0 .AND. RNODE/=SNODE,ANGLE_INC_COUNTER:r OMESH:rw,IL_R:w IOR_R:r NIC_R:r REAL_RECV_PKG5:r,IL_R REAL_RECV_PKG5,,radiation intensities IL at interpolated boundaries,main.f90:3484; main.f90:3673
MESH_EXCHANGE,main.f90,6,unpack,3839,3849,mpi_only,CODE==6 .AND. SNODE/=RNODE .AND. OS%N_ITEMS>0,WALL:ap,WALL_RECV_BUFFER:ar,,,"end of CORRECTOR: H, U, V, W; plus back-wall (WALL/THIN_WALL) data",main.f90:3421; main.f90:3458; main.f90:3652; main.f90:3668
MESH_EXCHANGE,main.f90,6,unpack,3852,3862,mpi_only,CODE==6 .AND. SNODE/=RNODE .AND. OS%N_ITEMS>0,THIN_WALL:ap,THIN_WALL_RECV_BUFFER:ar,,,"end of CORRECTOR: H, U, V, W; plus back-wall (WALL/THIN_WALL) data",main.f90:3421; main.f90:3458; main.f90:3652; main.f90:3668
MESH_EXCHANGE,main.f90,7,unpack,3867,3882,both,CODE==7 .AND. OS%N_ITEMS>0,,PARTICLE_RECV_BUFFER:awrw,,,number of particle orphans,main.f90:3512; main.f90:3644
MESH_EXCHANGE,main.f90,11,unpack,3885,3911,both,CODE==11 .AND. OS%N_ITEMS>0,BOUNDARY_COORD:prw LAGRANGIAN_PARTICLE:aprw NLP:rw,PARTICLE_RECV_BUFFER:arw,,,particle buffers (particles leaving a mesh),main.f90:3523; main.f90:3625
MESH_EXCHANGE,main.f90,14,unpack,3913,3937,mpi_only,CODE==14 .AND. M2%NIC_R>0 .AND. RNODE/=SNODE,OMESH:rw,IIO_R:r IOR_R:r JJO_R:r NIC_R:r PHI1_LS:pw PHI_LS:pw REAL_RECV_PKG14:r U_LS:w V_LS:w Z_LS:w,REAL_RECV_PKG14,,level-set boundary values,main.f90:3545; main.f90:3678
MESH_EXCHANGE,main.f90,16,unpack,3945,3950,both,CODE==16 .AND. M2%N_INTERNAL_OBST>0,OBSTRUCTION:rw OMESH:r,N_INTERNAL_OBST:r REAL_RECV_PKG8:r,REAL_RECV_PKG8,,OBST owner unpacks mass lost by exterior cell faces (PKG8),main.f90:3941; main.f90:3626
MESH_EXCHANGE,main.f90,17,unpack,3952,3958,both,CODE==17 .AND. M2%N_INTERNAL_OBST>0,OBSTRUCTION:r OMESH:rw,N_INTERNAL_OBST:r REAL_RECV_PKG8:r REAL_SEND_PKG8:w,REAL_RECV_PKG8 REAL_SEND_PKG8,,OBST owner packs its new masses into REAL_SEND_PKG8,main.f90:3942
MESH_EXCHANGE,main.f90,18,unpack,3960,3968,both,CODE==18 .AND. M2%N_EXTERNAL_OBST>0,OBSTRUCTION:w OMESH:rw,N_EXTERNAL_OBST:rw REAL_RECV_PKG8:rw,REAL_RECV_PKG8,,meshes holding exterior faces receive the new OBST mass,main.f90:3943; main.f90:3627
