pointer,decl,fortran_type,rank,remap_line,target,target_decl,target_alloc_bounds,category,n_routines_using,n_runtime_routines,sample_routines,notes
M_DOT_PPP,mesh.f90:373,REAL(EB),4,mesh.f90:557,M%M_DOT_PPP,mesh.f90:76,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TRACKED_SPECIES)",cell_centred_solution,16,14,CONDENSATION_EVAPORATION(fire.f90); SOOT_SURFACE_OXIDATION(soot.f90); COPY_UNST_DM_TO_CART(ccib.f90); INIT_CUTCELL_DATA(ccib.f90); PARTICLE_MASS_ENERGY_TRANSFER(part.f90); DENSITY(mass.f90),
ADV_FX,mesh.f90:374,REAL(EB),4,mesh.f90:575,M%ADV_FX,mesh.f90:77,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",face_centred_flux,4,4,GAS_PHASE_OUTPUT(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); DENSITY(mass.f90); POINT_TO_MESH(mesh.f90),
ADV_FY,mesh.f90:374,REAL(EB),4,mesh.f90:576,M%ADV_FY,mesh.f90:78,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",face_centred_flux,4,4,GAS_PHASE_OUTPUT(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); DENSITY(mass.f90); POINT_TO_MESH(mesh.f90),
ADV_FZ,mesh.f90:374,REAL(EB),4,mesh.f90:577,M%ADV_FZ,mesh.f90:79,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",face_centred_flux,4,4,GAS_PHASE_OUTPUT(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); DENSITY(mass.f90); POINT_TO_MESH(mesh.f90),
DIF_FX,mesh.f90:374,REAL(EB),4,mesh.f90:578,M%DIF_FX,mesh.f90:80,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",face_centred_flux,4,4,GAS_PHASE_OUTPUT(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); DIVERGENCE_PART_1(divg.f90); POINT_TO_MESH(mesh.f90),
DIF_FY,mesh.f90:374,REAL(EB),4,mesh.f90:579,M%DIF_FY,mesh.f90:81,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",face_centred_flux,4,4,GAS_PHASE_OUTPUT(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); DIVERGENCE_PART_1(divg.f90); POINT_TO_MESH(mesh.f90),
DIF_FZ,mesh.f90:374,REAL(EB),4,mesh.f90:580,M%DIF_FZ,mesh.f90:82,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",face_centred_flux,4,4,GAS_PHASE_OUTPUT(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); DIVERGENCE_PART_1(divg.f90); POINT_TO_MESH(mesh.f90),
DIF_FXS,mesh.f90:374,REAL(EB),4,mesh.f90:581,M%DIF_FXS,mesh.f90:83,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",face_centred_flux,2,2,DIVERGENCE_PART_1(divg.f90); POINT_TO_MESH(mesh.f90),
DIF_FYS,mesh.f90:374,REAL(EB),4,mesh.f90:582,M%DIF_FYS,mesh.f90:84,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",face_centred_flux,2,2,DIVERGENCE_PART_1(divg.f90); POINT_TO_MESH(mesh.f90),
DIF_FZS,mesh.f90:374,REAL(EB),4,mesh.f90:583,M%DIF_FZS,mesh.f90:85,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",face_centred_flux,2,2,DIVERGENCE_PART_1(divg.f90); POINT_TO_MESH(mesh.f90),
CHEM_ACTIVE_CELLS,mesh.f90:375,INTEGER,2,mesh.f90:538,M%CHEM_ACTIVE_CELLS,mesh.f90:56,"deferred(:,:); allocated as (IBP1*JBP1*KBP1,4)",other,4,4,COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); DISTRIBUTE_CELLS_ACCROSS_MPI_PROCESSES(fire.f90); GATHER_CELLS_FROM_MPI_PROCESSES(fire.f90); POINT_TO_MESH(mesh.f90),
CHEM_ACTIVE_CC,mesh.f90:376,INTEGER,2,mesh.f90:539,M%CHEM_ACTIVE_CC,mesh.f90:57,"deferred(:,:); allocated as (SUM_CC,3)",other,4,4,COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); DISTRIBUTE_CELLS_ACCROSS_MPI_PROCESSES(fire.f90); GATHER_CELLS_FROM_MPI_PROCESSES(fire.f90); POINT_TO_MESH(mesh.f90),
POIS_PTB,mesh.f90:377,REAL(EB),0,mesh.f90:571,M%POIS_PTB,mesh.f90:87,scalar,pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
POIS_ERR,mesh.f90:377,REAL(EB),0,mesh.f90:572,M%POIS_ERR,mesh.f90:87,scalar,pressure_solver,4,4,GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); PRESSURE_SOLVER_CHECK_RESIDUALS(pres.f90); PRESSURE_SOLVER_CHECK_RESIDUALS_U(pres.f90),
SAVE1,mesh.f90:378,REAL(EB),1,mesh.f90:573,M%SAVE1,mesh.f90:88,deferred(:); allocated as (-3:M%LSAVE),pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
SAVE2,mesh.f90:378,REAL(EB),1,mesh.f90:574,M%SAVE2,mesh.f90:88,deferred(:); no ALLOCATE found,pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
WORK,mesh.f90:378,REAL(EB),1,mesh.f90:588,M%WORK,mesh.f90:88,deferred(:); allocated as (M%LWORK),pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
PRHS,mesh.f90:379,REAL(EB),3,mesh.f90:591,M%PRHS,mesh.f90:89,"deferred(:,:,:); allocated as (ITRN,JTRN,KTRN)",pressure_solver,5,5,PRESSURE_SOLVER_FFT(pres.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); GET_FH_FROM_PRHS_AND_BCS(ccib.f90); POINT_TO_MESH(mesh.f90); ULMAT_SOLVE_ZONE(pres.f90),
BXS,mesh.f90:380,REAL(EB),2,mesh.f90:592,M%BXS,mesh.f90:90,"deferred(:,:); allocated as (JDIM,KBP1)",pressure_solver,7,7,PRESSURE_SOLVER_FFT(pres.f90); ULMAT_SOLVE_ZONE(pres.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); GET_FH_FROM_PRHS_AND_BCS(ccib.f90); GET_PRES_CFACE_BCS(ccib.f90); GLMAT_SOLVER(pres.f90),
BXF,mesh.f90:380,REAL(EB),2,mesh.f90:593,M%BXF,mesh.f90:90,"deferred(:,:); allocated as (JDIM,KBP1)",pressure_solver,7,7,PRESSURE_SOLVER_FFT(pres.f90); ULMAT_SOLVE_ZONE(pres.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); GET_FH_FROM_PRHS_AND_BCS(ccib.f90); GET_PRES_CFACE_BCS(ccib.f90); GLMAT_SOLVER(pres.f90),
BYS,mesh.f90:380,REAL(EB),2,mesh.f90:594,M%BYS,mesh.f90:90,"deferred(:,:); allocated as (IBP1,KBP1)",pressure_solver,7,7,PRESSURE_SOLVER_FFT(pres.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); ULMAT_SOLVE_ZONE(pres.f90); GET_FH_FROM_PRHS_AND_BCS(ccib.f90); GET_PRES_CFACE_BCS(ccib.f90); GLMAT_SOLVER(pres.f90),
BYF,mesh.f90:380,REAL(EB),2,mesh.f90:595,M%BYF,mesh.f90:90,"deferred(:,:); allocated as (IBP1,KBP1)",pressure_solver,7,7,PRESSURE_SOLVER_FFT(pres.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); ULMAT_SOLVE_ZONE(pres.f90); GET_FH_FROM_PRHS_AND_BCS(ccib.f90); GET_PRES_CFACE_BCS(ccib.f90); GLMAT_SOLVER(pres.f90),
BZS,mesh.f90:380,REAL(EB),2,mesh.f90:596,M%BZS,mesh.f90:90,"deferred(:,:); allocated as (IBP1,JDIM)",pressure_solver,7,7,PRESSURE_SOLVER_FFT(pres.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); ULMAT_SOLVE_ZONE(pres.f90); GET_FH_FROM_PRHS_AND_BCS(ccib.f90); GET_PRES_CFACE_BCS(ccib.f90); GLMAT_SOLVER(pres.f90),
BZF,mesh.f90:380,REAL(EB),2,mesh.f90:597,M%BZF,mesh.f90:90,"deferred(:,:); allocated as (IBP1,JDIM)",pressure_solver,7,7,PRESSURE_SOLVER_FFT(pres.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); ULMAT_SOLVE_ZONE(pres.f90); GET_FH_FROM_PRHS_AND_BCS(ccib.f90); GET_PRES_CFACE_BCS(ccib.f90); GLMAT_SOLVER(pres.f90),
BXST,mesh.f90:380,REAL(EB),2,mesh.f90:598,M%BXST,mesh.f90:90,"deferred(:,:); allocated as (KBP1,JTRN) | (KBP1,JBP1)",pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
BXFT,mesh.f90:380,REAL(EB),2,mesh.f90:599,M%BXFT,mesh.f90:90,"deferred(:,:); allocated as (KBP1,JTRN) | (KBP1,JBP1)",pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
BYST,mesh.f90:380,REAL(EB),2,mesh.f90:600,M%BYST,mesh.f90:90,"deferred(:,:); allocated as (KBP1,IBP1)",pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
BYFT,mesh.f90:380,REAL(EB),2,mesh.f90:601,M%BYFT,mesh.f90:90,"deferred(:,:); allocated as (KBP1,IBP1)",pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
BZST,mesh.f90:380,REAL(EB),2,mesh.f90:602,M%BZST,mesh.f90:90,"deferred(:,:); allocated as (JBP1,IBP1) | (JTRN,IBP1)",pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
BZFT,mesh.f90:380,REAL(EB),2,mesh.f90:603,M%BZFT,mesh.f90:90,"deferred(:,:); allocated as (JBP1,IBP1) | (JTRN,IBP1)",pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
BXS_BAR,mesh.f90:381,REAL(EB),0,mesh.f90:604,M%BXS_BAR,mesh.f90:91,scalar,pressure_solver,3,3,POINT_TO_MESH(mesh.f90); PRESSURE_SOLVER_FFT(pres.f90); ULMAT_SOLVE_ZONE(pres.f90),
BXF_BAR,mesh.f90:381,REAL(EB),0,mesh.f90:605,M%BXF_BAR,mesh.f90:91,scalar,pressure_solver,3,3,POINT_TO_MESH(mesh.f90); PRESSURE_SOLVER_FFT(pres.f90); ULMAT_SOLVE_ZONE(pres.f90),
LSAVE,mesh.f90:382,INTEGER,0,mesh.f90:589,M%LSAVE,mesh.f90:92,scalar,pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
LWORK,mesh.f90:382,INTEGER,0,mesh.f90:590,M%LWORK,mesh.f90:92,scalar,pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
LBC,mesh.f90:382,INTEGER,0,mesh.f90:606,M%LBC,mesh.f90:92,scalar,pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
MBC,mesh.f90:382,INTEGER,0,mesh.f90:607,M%MBC,mesh.f90:92,scalar,pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
NBC,mesh.f90:382,INTEGER,0,mesh.f90:608,M%NBC,mesh.f90:92,scalar,pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
LBC2,mesh.f90:382,INTEGER,0,mesh.f90:609,M%LBC2,mesh.f90:92,scalar,pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
MBC2,mesh.f90:382,INTEGER,0,mesh.f90:610,M%MBC2,mesh.f90:92,scalar,pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
NBC2,mesh.f90:382,INTEGER,0,mesh.f90:611,M%NBC2,mesh.f90:92,scalar,pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
ITRN,mesh.f90:382,INTEGER,0,mesh.f90:612,M%ITRN,mesh.f90:92,scalar,pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
JTRN,mesh.f90:382,INTEGER,0,mesh.f90:613,M%JTRN,mesh.f90:92,scalar,pressure_solver,2,2,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90),
KTRN,mesh.f90:382,INTEGER,0,mesh.f90:614,M%KTRN,mesh.f90:92,scalar,pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
IPS,mesh.f90:382,INTEGER,0,mesh.f90:615,M%IPS,mesh.f90:92,scalar,pressure_solver,3,3,PRESSURE_SOLVER_FFT(pres.f90); POINT_TO_MESH(mesh.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90),
P_0,mesh.f90:383,REAL(EB),1,mesh.f90:625,M%P_0,mesh.f90:94,deferred(:); allocated as (0:M%KBP1),pressure_solver,10,8,CC_DENSITY(ccib.f90); ADD_CUTCELL_D_PBAR_DT(ccib.f90); GAS_PHASE_OUTPUT(dump.f90); ADD_LINKEDCELL_D_PBAR_DT(ccib.f90); ADD_LINKEDCELL_PSUM(ccib.f90); ADD_CUTCELL_PSUM(ccib.f90),
RHO_0,mesh.f90:383,REAL(EB),1,mesh.f90:626,M%RHO_0,mesh.f90:95,deferred(:); allocated as (0:M%KBP1),other,8,7,CC_VELOCITY_FLUX(ccib.f90); VELOCITY_FLUX(velo.f90); VELOCITY_FLUX_CYLINDRICAL(velo.f90); CREATE_OR_REMOVE_OBST(init.f90); CC_RHO0W_INTERP(ccib.f90); INIT_CUTCELL_DATA(ccib.f90),
TMP_0,mesh.f90:383,REAL(EB),1,mesh.f90:627,M%TMP_0,mesh.f90:96,deferred(:); allocated as (0:M%KBP1),other,6,5,SOLID_HEAT_TRANSFER(wall.f90); SURFACE_HEAT_TRANSFER(wall.f90); RADIATION_FVM(radi.f90); INIT_CFACE_CELL(geom.f90); CREATE_OR_REMOVE_OBST(init.f90); POINT_TO_MESH(mesh.f90),
D_PBAR_DT,mesh.f90:383,REAL(EB),1,mesh.f90:620,M%D_PBAR_DT,mesh.f90:97,deferred(:); allocated as (0:N_ZONE),pressure_solver,9,8,GET_CUTCELL_DDDT(ccib.f90); ADD_Q_DOT_CUTCELLS(ccib.f90); CC_CHECK_DIVERGENCE(ccib.f90); DIVERGENCE_PART_2(divg.f90); DUMP_RESTART(dump.f90); READ_RESTART(dump.f90),
D_PBAR_DT_S,mesh.f90:383,REAL(EB),1,mesh.f90:621,M%D_PBAR_DT_S,mesh.f90:98,deferred(:); allocated as (0:N_ZONE),pressure_solver,7,7,GET_CUTCELL_DDDT(ccib.f90); ADD_Q_DOT_CUTCELLS(ccib.f90); CC_CHECK_DIVERGENCE(ccib.f90); DIVERGENCE_PART_2(divg.f90); UPDATE_HRR(dump.f90); DENSITY(mass.f90),
U_LEAK,mesh.f90:383,REAL(EB),1,mesh.f90:616,M%U_LEAK,mesh.f90:99,deferred(:); allocated as (0:N_ZONE),pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
U_WIND,mesh.f90:383,REAL(EB),1,mesh.f90:617,M%U_WIND,mesh.f90:100,deferred(:); allocated as (0:M%KBP1),other,6,6,VELOCITY_BC(velo.f90); GET_OPENBC_TANGENTIAL_CUTFACE_VEL(ccib.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); GET_PRES_CFACE_BCS(ccib.f90); POINT_TO_MESH(mesh.f90); SURFACE_HEAT_TRANSFER(wall.f90),
V_WIND,mesh.f90:383,REAL(EB),1,mesh.f90:618,M%V_WIND,mesh.f90:101,deferred(:); allocated as (0:M%KBP1),other,6,6,VELOCITY_BC(velo.f90); GET_OPENBC_TANGENTIAL_CUTFACE_VEL(ccib.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); GET_PRES_CFACE_BCS(ccib.f90); POINT_TO_MESH(mesh.f90); SURFACE_HEAT_TRANSFER(wall.f90),
W_WIND,mesh.f90:383,REAL(EB),1,mesh.f90:619,M%W_WIND,mesh.f90:102,deferred(:); allocated as (0:M%KBP1),other,6,6,VELOCITY_BC(velo.f90); GET_OPENBC_TANGENTIAL_CUTFACE_VEL(ccib.f90); PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); GET_PRES_CFACE_BCS(ccib.f90); POINT_TO_MESH(mesh.f90); SURFACE_HEAT_TRANSFER(wall.f90),
PBAR,mesh.f90:384,REAL(EB),2,mesh.f90:622,M%PBAR,mesh.f90:104,"deferred(:,:); allocated as (0:KBP1,0:N_ZONE)",pressure_solver,22,21,GAS_PHASE_OUTPUT(dump.f90); SETTLING_VELOCITY(soot.f90); COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); DENSITY(mass.f90); PARTICLE_MASS_ENERGY_TRANSFER(part.f90); CC_DENSITY(ccib.f90),
PBAR_S,mesh.f90:384,REAL(EB),2,mesh.f90:623,M%PBAR_S,mesh.f90:105,"deferred(:,:); allocated as (0:KBP1,0:N_ZONE)",pressure_solver,9,9,DENSITY(mass.f90); CC_DENSITY(ccib.f90); CFACE_PREDICT_NORMAL_VELOCITY(ccib.f90); CC_DIVERGENCE_PART_1(ccib.f90); DIVERGENCE_PART_1(divg.f90); DIVERGENCE_PART_2(divg.f90),
R_PBAR,mesh.f90:384,REAL(EB),2,mesh.f90:624,M%R_PBAR,mesh.f90:106,"deferred(:,:); allocated as (0:KBP1,0:N_ZONE)",pressure_solver,4,4,DIVERGENCE_PART_1(divg.f90); DIVERGENCE_PART_2(divg.f90); CC_DIVERGENCE_PART_1(ccib.f90); POINT_TO_MESH(mesh.f90),
PRESSURE_ZONE,mesh.f90:385,INTEGER,3,mesh.f90:628,M%PRESSURE_ZONE,mesh.f90:107,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1) | (0:M4%IBP1,0:M4%JBP1,0:M4%KBP1)",pressure_solver,38,38,ULMAT_SOLVE_ZONE(pres.f90); GAS_PHASE_OUTPUT(dump.f90); ULMAT_GET_H_REGFACES(pres.f90); GLMAT_SOLVER(pres.f90); GET_MATRIXGRAPH_H_WHLDOM(pres.f90); SETTLING_VELOCITY(soot.f90),
ZONE_MESH,mesh.f90:386,TYPE:ZONE_MESH_TYPE(ZONE_MESH_TYPE),1,mesh.f90:629,M%ZONE_MESH,mesh.f90:108,deferred(:); allocated as (0:N_ZONE),pressure_solver,11,11,ULMAT_SOLVE_ZONE(pres.f90); ULMAT_SOLVER_SETUP(pres.f90); ULMAT_MATRIXGRAPH_H(pres.f90); GAS_PHASE_OUTPUT(dump.f90); ULMAT_BCS_H_MATRIX(pres.f90); GET_H_GUARD_CUTCELL(ccib.f90),
MUNKH,mesh.f90:387,INTEGER,3,mesh.f90:630,M%MUNKH,mesh.f90:109,"deferred(:,:,:); allocated as (0:IBAR+1,0:JBAR+1,0:KBAR+1)",pressure_solver,7,7,ULMAT_SOLVE_ZONE(pres.f90); ULMAT_GET_H_REGFACES(pres.f90); ULMAT_MATRIXGRAPH_H(pres.f90); ULMAT_H_MATRIX(pres.f90); POINT_TO_MESH(mesh.f90); ULMAT_SOLVER_SETUP(pres.f90),
WORK1,mesh.f90:388,REAL(EB),3,mesh.f90:631,M%WORK1,mesh.f90:117,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,16,16,VARDEN_DYNSMAG(turb.f90); CC_DIVERGENCE_PART_1(ccib.f90); DIVERGENCE_PART_1(divg.f90); DIVERGENCE_PART_2(divg.f90); DUMP_ISOF(dump.f90); DUMP_SLCF(dump.f90),
WORK2,mesh.f90:388,REAL(EB),3,mesh.f90:632,M%WORK2,mesh.f90:117,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,16,16,VARDEN_DYNSMAG(turb.f90); SET_EXIMRHOHSLIM_3D(ccib.f90); DIVERGENCE_PART_1(divg.f90); ENTHALPY_ADVECTION_NEW(divg.f90); DUMP_ISOF(dump.f90); DUMP_SLCF(dump.f90),
WORK3,mesh.f90:388,REAL(EB),3,mesh.f90:633,M%WORK3,mesh.f90:117,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,12,12,VARDEN_DYNSMAG(turb.f90); SET_EXIMRHOHSLIM_3D(ccib.f90); DIVERGENCE_PART_1(divg.f90); ENTHALPY_ADVECTION_NEW(divg.f90); DUMP_ISOF(dump.f90); DUMP_SMOKE3D(dump.f90),
WORK4,mesh.f90:388,REAL(EB),3,mesh.f90:634,M%WORK4,mesh.f90:117,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,13,13,VARDEN_DYNSMAG(turb.f90); DIVERGENCE_PART_1(divg.f90); SET_EXIMRHOHSLIM_3D(ccib.f90); CC_CHECK_MASS_DENSITY(ccib.f90); ENTHALPY_ADVECTION_NEW(divg.f90); DUMP_ISOF(dump.f90),
WORK5,mesh.f90:388,REAL(EB),3,mesh.f90:635,M%WORK5,mesh.f90:117,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,12,12,VARDEN_DYNSMAG(turb.f90); DIVERGENCE_PART_1(divg.f90); CC_DIVERGENCE_PART_1(ccib.f90); CC_CHECK_MASS_DENSITY(ccib.f90); COMPUTE_PARTICLE_FLUXES(dump.f90); CHECK_MASS_DENSITY(mass.f90),
WORK6,mesh.f90:388,REAL(EB),3,mesh.f90:636,M%WORK6,mesh.f90:117,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,9,9,VARDEN_DYNSMAG(turb.f90); DIVERGENCE_PART_1(divg.f90); ENTHALPY_ADVECTION_NEW(divg.f90); COMPUTE_PARTICLE_FLUXES(dump.f90); POINT_TO_MESH(mesh.f90); PARTICLE_RUNNING_AVERAGES(part.f90),
WORK7,mesh.f90:388,REAL(EB),3,mesh.f90:637,M%WORK7,mesh.f90:117,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,14,14,VARDEN_DYNSMAG(turb.f90); CCSPECIES_ADVECTION(ccib.f90); DIVERGENCE_PART_1(divg.f90); SPECIES_ADVECTION_PART_2(divg.f90); DUMP_SLCF(dump.f90); DUMP_SLCF_VTK(dump.f90),
WORK8,mesh.f90:388,REAL(EB),3,mesh.f90:638,M%WORK8,mesh.f90:117,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,6,6,PRESSURE_SOLVER_CHECK_RESIDUALS(pres.f90); PRESSURE_SOLVER_CHECK_RESIDUALS_U(pres.f90); POINT_TO_MESH(mesh.f90); RADIATION_FVM(radi.f90); SETTLING_VELOCITY(soot.f90); CORIOLIS_FORCE(velo.f90),
WORK9,mesh.f90:388,REAL(EB),3,mesh.f90:639,M%WORK9,mesh.f90:117,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,8,8,CALC_VARDEN_LEONARD_TERM(turb.f90); VARDEN_DYNSMAG(turb.f90); DIVERGENCE_PART_1(divg.f90); CC_DIVERGENCE_PART_1(ccib.f90); POINT_TO_MESH(mesh.f90); RADIATION_FVM(radi.f90),
IWORK1,mesh.f90:389,INTEGER,3,mesh.f90:640,M%IWORK1,mesh.f90:118,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,2,2,POINT_TO_MESH(mesh.f90); COMPUTE_VISCOSITY(velo.f90),
WORK_PAD,mesh.f90:390,REAL(EB),3,mesh.f90:641,M%WORK_PAD,mesh.f90:119,"deferred(:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1)",scratch_work,4,4,SPECIES_ADVECTION_PART_1_NEW(divg.f90); MASS_FINITE_DIFFERENCES(mass.f90); ENTHALPY_ADVECTION_NEW(divg.f90); POINT_TO_MESH(mesh.f90),
WORK_U,mesh.f90:391,REAL(EB),3,mesh.f90:642,M%WORK_U,mesh.f90:120,"deferred(:,:,:); allocated as (-1:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D(ccib.f90); DENSITY(mass.f90); POINT_TO_MESH(mesh.f90),
WORK_V,mesh.f90:391,REAL(EB),3,mesh.f90:643,M%WORK_V,mesh.f90:120,"deferred(:,:,:); allocated as (0:IBP1,-1:JBP1,0:KBP1)",scratch_work,3,3,GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D(ccib.f90); DENSITY(mass.f90); POINT_TO_MESH(mesh.f90),
WORK_W,mesh.f90:391,REAL(EB),3,mesh.f90:644,M%WORK_W,mesh.f90:120,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,-1:KBP1)",scratch_work,3,3,GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D(ccib.f90); DENSITY(mass.f90); POINT_TO_MESH(mesh.f90),
PWORK1,mesh.f90:393,REAL(EB),3,mesh.f90:645,M%PWORK1,mesh.f90:121,"deferred(:,:,:); allocated as (NX,NX,NX)",pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
PWORK2,mesh.f90:393,REAL(EB),3,mesh.f90:646,M%PWORK2,mesh.f90:121,"deferred(:,:,:); allocated as (NX,NX,NX)",pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
PWORK3,mesh.f90:393,REAL(EB),3,mesh.f90:647,M%PWORK3,mesh.f90:121,"deferred(:,:,:); allocated as (NX,NX,NX)",pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
PWORK4,mesh.f90:393,REAL(EB),3,mesh.f90:648,M%PWORK4,mesh.f90:121,"deferred(:,:,:); no ALLOCATE found",pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
PWORK5,mesh.f90:394,COMPLEX(EB),3,mesh.f90:649,M%PWORK5,mesh.f90:122,"deferred(:,:,:); allocated as (NX,NX,NX)",pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
PWORK6,mesh.f90:394,COMPLEX(EB),3,mesh.f90:650,M%PWORK6,mesh.f90:122,"deferred(:,:,:); allocated as (NX,NX,NX)",pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
PWORK7,mesh.f90:394,COMPLEX(EB),3,mesh.f90:651,M%PWORK7,mesh.f90:122,"deferred(:,:,:); allocated as (NX,NX,NX)",pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
PWORK8,mesh.f90:394,COMPLEX(EB),3,mesh.f90:652,M%PWORK8,mesh.f90:122,"deferred(:,:,:); allocated as (NX,NX,NX)",pressure_solver,1,1,POINT_TO_MESH(mesh.f90),
TURB_WORK1,mesh.f90:396,REAL(EB),3,mesh.f90:653,M%TURB_WORK1,mesh.f90:123,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",scratch_work,3,3,VARDEN_DYNSMAG(turb.f90); CALC_VARDEN_LEONARD_TERM(turb.f90); POINT_TO_MESH(mesh.f90),
